lga_name,number_aboriginal_tsi,non_indigenous,not_stated,total,indigenous_total_percentage
 Nambucca (A) ," 1,357 "," 16,568 ", 714 ," 18,643 ",7.3
 Narrabri (A) ," 1,388 "," 10,914 ", 623 ," 12,926 ",10.7
 Narrandera (A) , 593 ," 4,935 ", 377 ," 5,900 ",10.1
 Narromine (A) ," 1,289 "," 5,006 ", 283 ," 6,584 ",19.6
 Newcastle (C) ," 3,927 "," 138,203 "," 6,401 "," 148,534 ",2.6
 North Sydney (A) , 134 ," 56,946 "," 5,216 "," 62,290 ",0.2
 Oberon (A) , 160 ," 4,694 ", 190 ," 5,041 ",3.2
 Orange (C) ," 2,050 "," 34,128 "," 1,880 "," 38,056 ",5.4
 Palerang (A) , 224 ," 13,301 ", 821 ," 14,351 ",1.6
 Parkes (A) ," 1,211 "," 12,559 ", 822 ," 14,592 ",8.3
 Parramatta (C) ," 1,402 "," 155,986 "," 9,470 "," 166,858 ",0.8
 Penrith (C) ," 5,387 "," 165,752 "," 7,327 "," 178,465 ",3.0
 Pittwater (A) , 250 ," 54,568 "," 2,328 "," 57,154 ",0.4
 Port Macquarie-Hastings (A) ," 2,418 "," 67,401 "," 2,882 "," 72,698 ",3.3
 Port Stephens (A) ," 2,325 "," 59,202 "," 3,271 "," 64,808 ",3.6
 Queanbeyan (C) ," 1,137 "," 35,107 "," 1,747 "," 37,994 ",3.0
 Randwick (C) ," 1,844 "," 118,078 "," 9,069 "," 128,987 ",1.4
 Richmond Valley (A) ," 1,452 "," 19,666 ", 919 ," 22,038 ",6.6
 Rockdale (C) , 576 ," 90,991 "," 5,779 "," 97,339 ",0.6
 Ryde (C) , 354 ," 98,321 "," 4,370 "," 103,040 ",0.3
 Shellharbour (C) ," 1,929 "," 59,574 "," 2,097 "," 63,604 ",3.0
 Shoalhaven (C) ," 4,316 "," 83,663 "," 4,829 "," 92,812 ",4.7
 Singleton (A) , 845 ," 20,924 ", 925 ," 22,695 ",3.7
 Snowy River (A) , 74 ," 6,498 ", 934 ," 7,509 ",1.0
 Strathfield (A) , 103 ," 32,563 "," 2,528 "," 35,187 ",0.3
 Sutherland Shire (A) ," 1,740 "," 201,908 "," 7,218 "," 210,862 ",0.8
 Sydney (C) ," 2,175 "," 145,613 "," 21,715 "," 169,506 ",1.3
 Tamworth Regional (A) ," 4,722 "," 49,009 "," 2,565 "," 56,291 ",8.4
 Temora (A) , 102 ," 5,475 ", 196 ," 5,776 ",1.8
 Tenterfield (A) , 459 ," 5,978 ", 373 ," 6,809 ",6.7
 The Hills Shire (A) , 632 ," 164,430 "," 4,817 "," 169,872 ",0.4
 Tumbarumba (A) , 83 ," 3,121 ", 153 ," 3,357 ",2.5
 Tumut Shire (A) , 493 ," 10,020 ", 421 ," 10,935 ",4.5
 Tweed (A) ," 2,941 "," 78,236 "," 3,927 "," 85,107 ",3.5
 Upper Hunter Shire (A) , 537 ," 12,634 ", 584 ," 13,751 ",3.9
 Upper Lachlan Shire (A) , 120 ," 6,775 ", 295 ," 7,192 ",1.7
 Uralla (A) , 353 ," 5,434 ", 238 ," 6,032 ",5.9
 Urana (A) , 39 ," 1,048 ", 67 ," 1,158 ",3.4
 Wagga Wagga (C) ," 2,731 "," 54,765 "," 1,962 "," 59,459 ",4.6
 Wakool (A) , 94 ," 3,607 ", 256 ," 3,962 ",2.4
 Walcha (A) , 219 ," 2,719 ", 81 ," 3,021 ",7.2
 Walgett (A) ," 1,812 "," 4,157 ", 483 ," 6,453 ",28.1
 Warren (A) , 367 ," 2,277 ", 113 ," 2,759 ",13.3
 Warringah (A) , 603 ," 134,972 "," 5,168 "," 140,739 ",0.4
 Warrumbungle Shire (A) , 886 ," 8,143 ", 554 ," 9,589 ",9.2
 Waverley (A) , 242 ," 56,439 "," 6,803 "," 63,485 ",0.4
 Weddin (A) , 68 ," 3,459 ", 135 ," 3,665 ",1.9
 Wellington (A) ," 1,701 "," 6,371 ", 424 ," 8,494 ",20.0
 Wentworth (A) , 681 ," 5,601 ", 329 ," 6,610 ",10.3
 Willoughby (C) , 134 ," 64,158 "," 3,063 "," 67,355 ",0.2
 Wingecarribee (A) , 802 ," 41,805 "," 1,788 "," 44,396 ",1.8
 Wollondilly (A) ," 1,036 "," 40,585 "," 1,639 "," 43,261 ",2.4
 Wollongong (C) ," 4,229 "," 180,324 "," 7,867 "," 192,419 ",2.2
 Woollahra (A) , 113 ," 46,609 "," 5,434 "," 52,159 ",0.2
 Wyong (A) ," 5,466 "," 138,076 "," 6,206 "," 149,745 ",3.7
 Yass Valley (A) , 295 ," 13,967 ", 763 ," 15,020 ",2.0
 Young (A) , 378 ," 11,256 ", 598 ," 12,235 ",3.1
 Unincorporated NSW , 38 ," 1,096 ", 35 ," 1,168 ",3.3
 No Usual Address (NSW) , 914 ," 10,674 "," 1,329 "," 12,917 ",7.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
